Unnamed: 0,project_id,project_name,revision,industry_segment,system_category,quote_date,start_date,dataset_role,include_in_training,stations_count,robot_count,fixture_sets,part_types,servo_axes,pneumatic_devices,safety_doors,weldment_perimeter_ft,fence_length_ft,conveyor_length_ft,product_familiarity_score,product_rigidity,is_product_deformable,is_bulk_product,bulk_rigidity_score,has_tricky_packaging,process_uncertainty_score,changeover_time_min,safety_devices_count,custom_pct,duplicate,has_controls,has_robotics,automation_level,Retrofit,complexity_score_1_5,drawing_count_est,manual_count,validation_reports_count,commissioning_hours,training_hours,support_weeks,plc_family,hmi_family,hmi_size_in,vision_systems_count,vision_type,safety_plc_flag,panel_count,drive_count,i_o_points_est,stations_robot_index,mech_complexity_index,controls_complexity_index,physical_scale_index,log_quoted_materials_cost,total_me_quoted_hours,total_me_original_estimate_hours,total_me_actual_hours,quoted_me10_hours,me10_original_estimate_hours,me10_actual_hours,me10_overrun_pct,quoted_me15_hours,me15_original_estimate_hours,me15_actual_hours,me15_overrun_pct,quoted_ee20_hours,ee20_original_estimate_hours,ee20_actual_hours,ee20_overrun_pct,quoted_pm200_hours,pm200_original_estimate_hours,pm200_actual_hours,pm200_overrun_pct,quoted_doc190_hours,doc190_original_estimate_hours,doc190_actual_hours,doc190_overrun_pct,quoted_bld100_hours,bld100_original_estimate_hours,bld100_actual_hours,bld100_overrun_pct,quoted_shp150_hours,shp150_original_estimate_hours,shp150_actual_hours,shp150_overrun_pct,quoted_rb30_hours,rb30_original_estimate_hours,rb30_actual_hours,rb30_overrun_pct,quoted_cp50_hours,cp50_original_estimate_hours,cp50_actual_hours,cp50_overrun_pct,quoted_me230_hours,me230_original_estimate_hours,me230_actual_hours,me230_overrun_pct,quoted_inst160_hours,inst160_original_estimate_hours,inst160_actual_hours,inst160_overrun_pct,quoted_trv180_hours,trv180_original_estimate_hours,trv180_actual_hours,trv180_overrun_pct,quoted_materials_cost
14,467-22-01,Siemens Plant Kitting Cell,E,Electronics / Semiconductor,End of Line Automation,2022-02-24T00:00:00.000,2022-03-29T00:00:00.000,actuals,yes,1,0,0,3,3,6,2,0.0,77.612807,0.0,0.661,0.628,0,0,0.0,0,0.712,0,2,0.319426,1,1,1,Robotic,0,3,86,9,2,337,40,1.0,AB Compact Logix,AB YW0,12.0,0,,1,1,3,191,1,6,2.8898,23.2838,12.335236,324.0,365.73,304.8,188.1,239.35,536.81,1.242783,34.5,31.6,54.03,0.70981,127.29,163.07,352.33,1.160606,107.52,99.61,250.32,1.513001,33.0,40.02,78.35,0.957771,330.14,405.21,746.18,0.841465,41.21,50.39,76.55,0.519151,357.11,357.52,465.97,0.30334,0.0,0.0,0.0,,105.54,126.49,330.71,1.614515,90.36,88,108.36,0.233747,25.82,22.16,45.5,1.053249,227580
15,434-23-02,Tyson Foods Trolley Loading,D,Pharmaceutical / Medical Device,Engineered Manufacturing Systems,2023-03-23T00:00:00.000,2023-05-27T00:00:00.000,actuals,yes,6,1,1,1,1,4,1,39.520474,0.0,0.0,0.703,0.674,0,0,0.0,0,0.603,240,2,0.426852,1,1,1,Robotic,0,4,205,18,3,135,40,1.5,AB GuardLogix,AB OPTIXPANEL,12.0,0,,1,1,5,251,9,10,3.4226,39.5205,12.223629,488.97,417.61,686.52,233.17,242.67,617.61,1.545061,69.11,82.13,214.07,1.606478,182.92,159.84,275.32,0.722472,262.72,318.58,747.34,1.345847,69.81,71.92,141.68,0.969967,662.36,708.18,1354.63,0.912833,34.33,34.31,58.79,0.713495,252.78,292.87,121.33,-0.585721,207.26,194.6,363.5,0.867934,191.52,155.39,392.36,1.525002,217.18,237,703.81,1.975312,31.8,27.6,47.84,0.733333,203540
16,501-22-02,Cummins Palletizer,F,Consumer Goods (Industrial Markers),Machine Tending,2022-05-06T00:00:00.000,2022-07-06T00:00:00.000,actuals,yes,5,2,6,1,1,2,1,0.0,78.501747,0.0,0.567,0.844,1,0,0.0,0,0.687,0,0,0.622765,0,1,1,Robotic,0,5,175,9,2,164,60,1.0,AB GuardLogix,Siemens Comfort,10.0,0,,1,1,0,178,11,15,2.7219,23.5505,13.206052,626.67,600.73,1199.73,370.82,441.82,571.29,0.293038,72.91,83.43,166.63,0.997243,193.86,246.08,542.41,1.204202,186.95,201.6,467.17,1.317312,63.63,55.2,141.95,1.571558,887.9,1049.26,1920.14,0.829994,84.39,76.87,170.93,1.223624,689.65,708.87,2145.92,2.027241,0.0,0.0,0.0,,146.8,144.35,254.01,0.759681,315.1,406,770.16,0.898068,57.19,53.84,103.25,0.917719,543650
17,455-25-02,BorgWarner Assembly Cell,D,Automotive,Engineered Manufacturing Systems,2025-06-06T00:00:00.000,2025-07-09T00:00:00.000,actuals,yes,9,2,5,3,2,9,1,0.0,27.642423,0.0,0.383,0.798,1,0,0.0,0,0.806,30,1,0.074892,0,0,1,Robotic,0,5,329,8,2,277,20,3.5,AB GuardLogix,AB PanelView Plus,15.0,0,,1,5,4,245,15,20,4.2996,8.2927,14.573651,1107.46,1259.94,1610.42,606.19,712.61,1136.93,0.595445,123.48,128.09,149.96,0.170739,484.57,480.34,635.57,0.323167,418.4,381.12,542.25,0.42278,153.69,154.36,212.78,0.378466,703.4,761.24,1870.05,1.456584,121.72,106.07,124.33,0.17215,1233.33,1013.9,1714.56,0.691054,0.0,0.0,0.0,,358.6,310.61,637.49,1.052381,360.67,299,648.8,1.166856,118.14,114.07,274.54,1.406768,2134300
18,472-22-02,Illinois Tool Works Assembly Cell,A,General Industry,Machine Tending,2022-03-15T00:00:00.000,2022-08-11T00:00:00.000,actuals,yes,1,3,3,3,2,16,0,0.0,0.0,0.0,0.955,0.914,1,0,0.0,0,0.707,0,3,0.05,1,1,1,Robotic,0,5,229,9,2,268,8,0.5,AB Compact Logix,AB PanelView Plus,12.0,0,,1,5,2,271,10,10,4.0385,0.0,13.34698,918.36,953.61,1325.72,483.04,449.79,1032.79,1.29616,94.06,111.57,240.88,1.159003,261.07,276.23,354.19,0.282229,437.21,359.51,401.18,0.115908,126.18,113.49,240.0,1.114724,991.98,1012.15,2735.88,1.703038,71.4,60.21,116.1,0.928251,980.77,1200.84,3071.4,1.55771,479.64,410.76,390.01,-0.050516,255.22,303.16,574.69,0.895666,340.26,288,493.38,0.714673,61.35,64.39,93.11,0.446032,625920
19,504-24-02,Dow Kitting Cell,A,Pharmaceutical / Medical Device,End of Line Automation,2024-03-15T00:00:00.000,2024-08-13T00:00:00.000,actuals,yes,1,1,0,8,1,8,5,0.0,0.0,0.0,0.687,0.806,0,0,0.0,0,0.681,0,0,0.351478,0,1,1,Robotic,1,3,91,18,2,198,0,1.0,Siemens S7-1500,AB PanelView Plus,12.0,1,3D Vision,1,1,5,247,4,15,2.8265,0.0,13.343956,513.07,546.98,994.24,212.23,248.1,601.26,1.423458,74.18,63.54,117.83,0.854422,169.19,206.26,251.92,0.221371,134.41,126.27,280.16,1.218738,70.74,74.75,94.21,0.260334,356.98,371.82,751.64,1.021516,53.3,66.88,138.78,1.07506,363.73,351.2,913.03,1.599744,257.78,268.39,431.77,0.608741,150.49,148.15,356.64,1.40729,185.27,170,510.38,2.011091,52.04,49.42,89.44,0.809794,624030
20,459-24-02,Whirlpool Robotic Weld Cell,A,Food & Beverage,Machine Tending,2024-05-08T00:00:00.000,2024-09-14T00:00:00.000,actuals,yes,4,0,1,3,0,7,0,0.0,0.0,81.256814,0.363,0.824,0,0,0.0,1,0.627,0,4,0.765367,0,0,1,Robotic,0,3,155,8,2,155,8,0.5,AB Compact Logix,Omron NA5,15.0,0,,1,1,4,98,4,8,2.5191,16.2514,12.110329,488.94,510.18,826.97,309.04,277.3,256.74,-0.074144,71.32,66.13,138.23,1.090277,118.4,122.03,359.52,1.946161,214.31,260.69,599.79,1.300779,56.29,55.79,110.53,0.981179,488.99,458.48,1074.99,1.344682,44.16,40.05,67.21,0.678152,334.05,358.35,648.61,0.80999,178.82,197.13,327.9,0.663369,153.3,188.03,355.97,0.893155,169.15,139,306.2,1.197818,60.46,56.75,69.91,0.231894,181740
21,467-25-03,PPG Full Line Automation,E,Plastics / Injection Molding,Machine Tending,2025-09-04T00:00:00.000,2025-12-14T00:00:00.000,actuals,yes,5,0,4,4,1,4,1,0.0,0.0,51.945134,0.559,0.711,0,1,0.724,1,0.599,120,1,0.05,0,1,0,Semi-Automatic,0,3,113,18,2,266,40,0.0,AB Compact Logix,AB OPTIXPANEL,15.0,1,Cognex Insight,1,6,6,126,5,14,4.3457,10.389,12.351282,622.37,656.49,1255.81,338.94,422.94,552.1,0.305386,64.26,59.54,79.77,0.339772,128.44,152.86,92.19,-0.396899,203.25,247.04,517.59,1.095167,63.86,74.26,104.23,0.403582,848.66,870.32,1660.45,0.907861,80.3,72.47,108.52,0.497447,524.11,527.27,709.66,0.345914,189.24,211.06,330.4,0.565432,113.35,118.73,221.26,0.863556,351.38,455,836.96,0.838139,52.75,58.23,98.63,0.6938,231260
22,442-22-01,3M Vision Inspection,C,General Industry,Engineered Manufacturing Systems,2022-11-28T00:00:00.000,2023-04-02T00:00:00.000,actuals,yes,1,4,2,1,0,9,0,0.0,0.783079,0.0,0.722,0.846,0,0,0.0,0,0.297,20,2,0.982287,1,1,1,Robotic,0,5,280,8,2,154,60,0.5,Siemens S7-1500,AB OPTIXPANEL,12.0,0,,1,1,2,263,13,8,3.316,0.2349,14.350876,850.99,831.48,1459.99,489.34,403.77,1011.5,1.505139,106.64,90.52,187.32,1.069377,380.71,362.84,746.5,1.057381,399.21,410.34,459.38,0.119511,80.8,72.04,116.6,0.618545,1260.36,1610.81,1621.22,0.006463,42.93,50.46,117.84,1.335315,583.27,600.35,878.46,0.463246,415.74,379.39,567.64,0.496191,202.35,224.23,493.58,1.201222,272.45,296,612.23,1.068974,79.37,88.18,137.21,0.556022,1708070
23,504-24-03,3M Machine Tending,E,General Industry,Engineered Manufacturing Systems,2024-01-08T00:00:00.000,2024-04-04T00:00:00.000,actuals,yes,12,0,2,1,3,9,0,12.776734,0.0,0.0,0.587,0.796,0,1,0.732,0,0.686,20,6,0.892423,0,1,0,Hard Automation,0,5,345,8,2,213,8,2.0,AB Compact Logix,AB PanelView Plus,10.0,0,,1,1,4,232,12,15,3.6083,12.7767,13.252211,1087.68,1204.59,1653.44,656.14,740.6,2023.6,1.732379,121.14,142.65,233.36,0.635892,407.46,528.21,1219.6,1.30893,556.17,586.02,937.18,0.599229,98.16,126.08,303.51,1.407281,1122.93,1272.92,1951.24,0.532885,116.61,137.94,278.53,1.019211,545.4,638.66,1944.29,2.044327,0.0,0.0,0.0,,219.62,243.07,448.38,0.844654,474.57,510,1441.92,1.825798,111.09,93.11,203.47,1.185265,569330
24,511-23-01,3M Full Line Automation,B,General Industry,End of Line Automation,2023-08-16T00:00:00.000,2024-01-03T00:00:00.000,actuals,yes,13,1,0,7,1,9,3,0.0,0.0,0.0,0.405,0.938,0,0,0.0,0,0.568,0,2,0.365399,0,0,1,Robotic,0,4,269,8,2,403,40,3.0,AB Compact Logix,AB PanelView Plus,12.0,0,,1,1,1,246,16,24,2.6783,0.0,12.52426,864.26,914.55,1638.86,588.37,485.88,800.16,0.646826,132.56,137.59,261.32,0.899266,359.25,458.39,1166.7,1.545213,314.79,252.98,189.24,-0.251957,86.96,103.27,291.49,1.822601,820.15,715.9,906.91,0.266811,123.35,131.22,244.97,0.866865,0.0,0.0,0.0,,350.91,389.05,818.23,1.103149,200.31,186.82,397.75,1.129055,289.25,269,475.14,0.765007,68.25,60.07,124.95,1.080073,274930
25,463-25-01,Bridgestone Depalletizing System,,Automotive,Machine Tending,2025-11-25T00:00:00.000,2026-04-11T00:00:00.000,actuals,yes,1,1,1,1,0,25,1,41.106193,0.0,59.270014,0.557,0.491,0,0,0.0,1,0.661,0,3,0.463816,0,1,1,Robotic,0,3,164,8,2,162,40,0.0,AB Compact Logix,AB PanelView Plus,10.0,1,Keyence VS-L500CX,1,2,5,259,4,5,3.2402,52.9602,12.948329,428.52,378.66,702.61,185.3,213.21,370.86,0.739412,60.75,75.93,98.17,0.292901,128.2,144.69,231.62,0.600802,125.6,158.43,387.47,1.445686,44.37,55.86,141.47,1.532581,285.06,329.95,885.25,1.682982,33.83,33.98,49.92,0.469099,476.65,546.19,1552.75,1.842875,222.34,272.84,311.96,0.143381,169.66,183.62,274.91,0.497168,213.9,189,360.81,0.912589,29.64,31.4,70.73,1.252548,420130
26,468-25-02,Honeywell Full Line Automation,E,Precision Machining,Engineered Manufacturing Systems,2025-01-08T00:00:00.000,2025-04-05T00:00:00.000,actuals,yes,8,2,0,6,1,8,2,33.850101,45.468412,78.782628,0.35,0.721,0,1,0.188,1,0.178,0,1,0.916042,0,1,1,Robotic,1,4,280,8,2,387,20,1.5,AB GuardLogix,AB PanelView Plus,15.0,0,,1,2,6,329,14,18,3.1746,63.2472,13.590288,695.21,731.73,1020.73,420.95,488.16,784.42,0.606891,99.54,88.86,130.98,0.474004,243.21,310.32,595.96,0.920469,247.62,213.64,204.93,-0.04077,105.91,85.98,194.29,1.259712,873.25,800.66,732.03,-0.085717,47.9,42.37,124.23,1.932027,672.43,633.96,1072.92,0.69241,354.23,383.35,685.95,0.789357,98.12,92.74,243.08,1.621091,191.79,206,393.54,0.909739,96.19,101.63,201.06,0.978353,798340
